Site	Left	Right	Strand	Transcription-Units	Common-Name
NagC DNA-binding-site 31 bases upstream of nagEp	703798	703821		nagE // nagBACD	
NagC DNA-binding-site 4 bases downstream of manXp	1901925	1901948	+	manXYZ	
NagC DNA-binding-site 462 bases upstream of fimBp2	4540194	4540217		fimB // nanCMS // nanCM	
NagC DNA-binding-site 58 bases downstream of glmUp2	3915258	3915281	-	glmUS // glmUS	
NagC DNA-binding-site 674 bases upstream of fimBp2	4539982	4540005		fimB // nanCMS // nanCM	
NagC DNA-binding-site 80 bases upstream of manXp	1901842	1901865	+	manXYZ	
NagC DNA-binding-site 96 bases upstream of glmUp2	3915411	3915434	-	glmUS // glmUS	
NagC DNA-binding-site regulating eutSPQTDMNEJGHA			-	eutSPQTDMNEJGHA	
NanR DNA-binding-site 11.5 bases upstream of nanAp	3373629	3373635	-	nanA // nanATEK-yhcH	
NanR DNA-binding-site 2.5 bases upstream of nanAp	3373620	3373626	-	nanA // nanATEK-yhcH	
NanR DNA-binding-site 376.5 bases upstream of yjhBp2	4503641	4503647	+	nanXY	
NanR DNA-binding-site 384.5 bases upstream of yjhBp2	4503633	4503639	+	nanXY	
NanR DNA-binding-site 393.5 bases upstream of yjhBp2	4503624	4503630	+	nanXY	
NanR DNA-binding-site 6.5 bases downstream of nanAp	3373612	3373618	-	nanA // nanATEK-yhcH	
NanR DNA-binding-site 727.5 bases upstream of fimBp2	4539937	4539943		fimB // nanCMS // nanCM	
NanR DNA-binding-site 736.5 bases upstream of fimBp2	4539928	4539934		fimB // nanCMS // nanCM	
NanR DNA-binding-site 744.5 bases upstream of fimBp2	4539920	4539926		fimB // nanCMS // nanCM	
NarL-Pasp59 DNA-binding-site 10 bases upstream of hyaAp2	1031971	1031978	+	hyaABCDEF // hyaABCDEF	
NarL-Pasp59 DNA-binding-site 100 bases upstream of fdnGp	1547269	1547276	+	fdnGHI	
NarL-Pasp59 DNA-binding-site 100 bases upstream of hcpp1	913942	913949	-	hcp-hcr-poxB // hcp-hcr	
NarL-Pasp59 DNA-binding-site 101 bases upstream of narGp	1279703	1279710	+	narGHJI	
NarL-Pasp59 DNA-binding-site 103 bases upstream of narKp1	1277826	1277833	+	narK	
NarL-Pasp59 DNA-binding-site 109 bases upstream of dcuBp1	4348870	4348877	-	dcuB-fumB	
NarL-Pasp59 DNA-binding-site 109 bases upstream of fdnGp	1547260	1547267	+	fdnGHI	
NarL-Pasp59 DNA-binding-site 109 bases upstream of hcpp1	913951	913958	-	hcp-hcr-poxB // hcp-hcr	
NarL-Pasp59 DNA-binding-site 109 bases upstream of moeAp	866500	866507	-	moeAB	
NarL-Pasp59 DNA-binding-site 112 bases upstream of aspAp	4368541	4368548	-	aspA-dcuA // aspA	
NarL-Pasp59 DNA-binding-site 12 bases upstream of frdAp2	4382421	4382428	-	frdABCD // frdABCD	
NarL-Pasp59 DNA-binding-site 122 bases upstream of nuoAp2	2405281	2405288	-	nuoABCEFGHIJKLMN	
NarL-Pasp59 DNA-binding-site 124 bases upstream of fdnGp	1547245	1547252	+	fdnGHI	
NarL-Pasp59 DNA-binding-site 126 bases upstream of cydDp	931154	931161	-	cydDC	
NarL-Pasp59 DNA-binding-site 14 bases downstream of frdAp2	4382396	4382403	-	frdABCD // frdABCD	
NarL-Pasp59 DNA-binding-site 14 bases upstream of ynfEp2	1657986	1657993	+	ynfEFGH-dmsD // ynfEFGH-dmsD	
NarL-Pasp59 DNA-binding-site 15 bases downstream of dmsAp1	940834	940841	+	dmsABC	
NarL-Pasp59 DNA-binding-site 15 bases downstream of ydhYp	1754625	1754632	-	ydhYVWXUT	
NarL-Pasp59 DNA-binding-site 154 bases upstream of narKp1	1277775	1277782	+	narK	
NarL-Pasp59 DNA-binding-site 16 bases upstream of ydhYp	1754655	1754662	-	ydhYVWXUT	
NarL-Pasp59 DNA-binding-site 160 bases upstream of narKp1	1277769	1277776	+	narK	
NarL-Pasp59 DNA-binding-site 170 bases downstream of focAp3	954642	954649	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 177 bases upstream of moeAp	866568	866575	-	moeAB	
NarL-Pasp59 DNA-binding-site 177 bases upstream of narKp1	1277752	1277759	+	narK	
NarL-Pasp59 DNA-binding-site 18.5 bases upstream of ompWp	1313965	1313981	+	ompW	
NarL-Pasp59 DNA-binding-site 185 bases upstream of narGp	1279619	1279626	+	narGHJI	
NarL-Pasp59 DNA-binding-site 19 bases downstream of dcuBp1	4348743	4348750	-	dcuB-fumB	
NarL-Pasp59 DNA-binding-site 194 bases upstream of narKp1	1277735	1277742	+	narK	
NarL-Pasp59 DNA-binding-site 195 bases upstream of narGp	1279609	1279616	+	narGHJI	
NarL-Pasp59 DNA-binding-site 2 bases downstream of dcuBp1	4348760	4348767	-	dcuB-fumB	
NarL-Pasp59 DNA-binding-site 208 bases upstream of narGp	1279596	1279603	+	narGHJI	
NarL-Pasp59 DNA-binding-site 21 bases downstream of hybOp1	3146340	3146347	-	hybOABCDEFG	
NarL-Pasp59 DNA-binding-site 214 bases upstream of narKp1	1277715	1277722	+	narK	
NarL-Pasp59 DNA-binding-site 22 bases upstream of nrfAp	4287646	4287653	+	nrfABCDEFG	
NarL-Pasp59 DNA-binding-site 221 bases downstream of focAp3	954591	954598	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 23 bases upstream of ynfEp2	1657977	1657984	+	ynfEFGH-dmsD // ynfEFGH-dmsD	
NarL-Pasp59 DNA-binding-site 24 bases downstream of dcuBp1	4348738	4348745	-	dcuB-fumB	
NarL-Pasp59 DNA-binding-site 25 bases downstream of dpiBp2	652193	652200	+	dpiBA	
NarL-Pasp59 DNA-binding-site 25 bases upstream of focAp3	954836	954843	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 26 bases upstream of frdAp2	4382435	4382442	-	frdABCD // frdABCD	
NarL-Pasp59 DNA-binding-site 27 bases upstream of dmsAp1	940793	940800	+	dmsABC	
NarL-Pasp59 DNA-binding-site 27 bases upstream of focAp3	954838	954845	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 285 bases downstream of focAp3	954527	954534	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 302 bases downstream of focAp3	954510	954517	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 31 bases upstream of dcuSp	4351713	4351720	-	dcuSR	
NarL-Pasp59 DNA-binding-site 36 bases downstream of focAp3	954776	954783	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 37 bases downstream of citCp2	652000	652007		citCDEFXG // dpiBA	
NarL-Pasp59 DNA-binding-site 37 bases upstream of napFp2	2303611	2303618	-	napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH	
NarL-Pasp59 DNA-binding-site 39 bases upstream of yeaRp	1880030	1880037	-	yeaR-yoaG	
NarL-Pasp59 DNA-binding-site 4 bases upstream of frdAp2	4382413	4382420	-	frdABCD // frdABCD	
NarL-Pasp59 DNA-binding-site 40 bases upstream of dcuSp	4351722	4351729	-	dcuSR	
NarL-Pasp59 DNA-binding-site 41 bases upstream of ogtp	1400322	1400329	-	ogt	
NarL-Pasp59 DNA-binding-site 41 bases upstream of ytfEp	4432047	4432054	-	ytfE	
NarL-Pasp59 DNA-binding-site 42 bases upstream of ydhYp	1754681	1754688	-	ydhYVWXUT	
NarL-Pasp59 DNA-binding-site 43 bases downstream of dcuBp1	4348719	4348726	-	dcuB-fumB	
NarL-Pasp59 DNA-binding-site 45 bases upstream of dcuBp1	4348806	4348813	-	dcuB-fumB	
NarL-Pasp59 DNA-binding-site 46 bases upstream of napFp2	2303620	2303627	-	napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH	
NarL-Pasp59 DNA-binding-site 48 bases upstream of yeaRp	1880039	1880046	-	yeaR-yoaG	
NarL-Pasp59 DNA-binding-site 50 bases upstream of nrfAp	4287618	4287625	+	nrfABCDEFG	
NarL-Pasp59 DNA-binding-site 50 bases upstream of ogtp	1400331	1400338	-	ogt	
NarL-Pasp59 DNA-binding-site 50 bases upstream of ytfEp	4432056	4432063	-	ytfE	
NarL-Pasp59 DNA-binding-site 51 bases upstream of hybOp1	3146411	3146418	-	hybOABCDEFG	
NarL-Pasp59 DNA-binding-site 52 bases downstream of focAp3	954760	954767	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 57 bases upstream of narGp	1279747	1279754	+	narGHJI	
NarL-Pasp59 DNA-binding-site 6 bases downstream of frdAp2	4382404	4382411	-	frdABCD // frdABCD	
NarL-Pasp59 DNA-binding-site 6 bases downstream of ydhYp	1754634	1754641	-	ydhYVWXUT	
NarL-Pasp59 DNA-binding-site 65 bases upstream of nirBp	3493919	3493926	+	nirBDC-cysG	
NarL-Pasp59 DNA-binding-site 67 bases upstream of aspAp	4368496	4368503	-	aspA-dcuA // aspA	
NarL-Pasp59 DNA-binding-site 67 bases upstream of narKp1	1277862	1277869	+	narK	
NarL-Pasp59 DNA-binding-site 69 bases downstream of focAp3	954743	954750	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 69 bases upstream of norVp	2832367	2832374	+	norVW	
NarL-Pasp59 DNA-binding-site 7 bases downstream of hyaAp2	1031987	1031994	+	hyaABCDEF // hyaABCDEF	
NarL-Pasp59 DNA-binding-site 7 bases upstream of dmsAp1	940813	940820	+	dmsABC	
NarL-Pasp59 DNA-binding-site 70 bases upstream of nrfAp	4287598	4287605	+	nrfABCDEFG	
NarL-Pasp59 DNA-binding-site 71 bases upstream of narGp	1279733	1279740	+	narGHJI	
NarL-Pasp59 DNA-binding-site 74 bases upstream of nirBp	3493910	3493917	+	nirBDC-cysG	
NarL-Pasp59 DNA-binding-site 74 bases upstream of ogtp	1400355	1400362	-	ogt	
NarL-Pasp59 DNA-binding-site 76 bases upstream of aspAp	4368505	4368512	-	aspA-dcuA // aspA	
NarL-Pasp59 DNA-binding-site 76 bases upstream of hybOp1	3146436	3146443	-	hybOABCDEFG	
NarL-Pasp59 DNA-binding-site 77 bases upstream of fdnGp	1547292	1547299	+	fdnGHI	
NarL-Pasp59 DNA-binding-site 78 bases upstream of norVp	2832358	2832365	+	norVW	
NarL-Pasp59 DNA-binding-site 79 bases upstream of narGp	1279725	1279732	+	narGHJI	
NarL-Pasp59 DNA-binding-site 79 bases upstream of nrfAp	4287589	4287596	+	nrfABCDEFG	
NarL-Pasp59 DNA-binding-site 80 bases upstream of cydDp	931108	931115	-	cydDC	
NarL-Pasp59 DNA-binding-site 80 bases upstream of narKp1	1277849	1277856	+	narK	
NarL-Pasp59 DNA-binding-site 81 bases downstream of adhEp	1298330	1298337	-	adhE // adhE // adhE	
NarL-Pasp59 DNA-binding-site 83 bases upstream of ogtp	1400364	1400371	-	ogt	
NarL-Pasp59 DNA-binding-site 87 bases downstream of focAp3	954725	954732	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 89 bases upstream of narGp	1279715	1279722	+	narGHJI	
NarL-Pasp59 DNA-binding-site 90 bases downstream of adhEp	1298321	1298328	-	adhE // adhE // adhE	
NarL-Pasp59 DNA-binding-site 90 bases upstream of narKp1	1277839	1277846	+	narK	
NarL-Pasp59 DNA-binding-site 96 bases downstream of focAp3	954716	954723	-	focA-pflB // focA-pflB	
NarL-Pasp59 DNA-binding-site 98 bases upstream of narKp1	1277831	1277838	+	narK	
NarL-Pasp59 DNA-binding-site regulating fdhFp			-	fdhF	
NarL-Pasp59 DNA-binding-site regulating ydePp			-	ydeP	
NarP-Pasp59 DNA-binding-site 10 bases upstream of hyaAp2	1031966	1031982	+	hyaABCDEF // hyaABCDEF	
NarP-Pasp59 DNA-binding-site 100 bases upstream of fdnGp	1547264	1547280	+	fdnGHI	
NarP-Pasp59 DNA-binding-site 100 bases upstream of hcpp1	913937	913953	-	hcp-hcr-poxB // hcp-hcr	
NarP-Pasp59 DNA-binding-site 109 bases upstream of fdnGp	1547255	1547271	+	fdnGHI	
NarP-Pasp59 DNA-binding-site 109 bases upstream of hcpp1	913946	913962	-	hcp-hcr-poxB // hcp-hcr	
NarP-Pasp59 DNA-binding-site 15 bases downstream of ydhYp	1754625	1754632	-	ydhYVWXUT	
NarP-Pasp59 DNA-binding-site 37 bases upstream of napFp2	2303606	2303622	-	napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH	
NarP-Pasp59 DNA-binding-site 39 bases upstream of yeaRp	1880025	1880041	-	yeaR-yoaG	
NarP-Pasp59 DNA-binding-site 41 bases upstream of ytfEp	4432042	4432058	-	ytfE	
NarP-Pasp59 DNA-binding-site 46 bases upstream of napFp2	2303615	2303631	-	napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH	
NarP-Pasp59 DNA-binding-site 48 bases upstream of yeaRp	1880034	1880050	-	yeaR-yoaG	
NarP-Pasp59 DNA-binding-site 50 bases upstream of ytfEp	4432051	4432067	-	ytfE	
NarP-Pasp59 DNA-binding-site 6 bases downstream of ydhYp	1754634	1754641	-	ydhYVWXUT	
NarP-Pasp59 DNA-binding-site 65 bases upstream of nirBp	3493914	3493930	+	nirBDC-cysG	
NarP-Pasp59 DNA-binding-site 69 bases upstream of norVp	2832362	2832378	+	norVW	
NarP-Pasp59 DNA-binding-site 7 bases downstream of hyaAp2	1031982	1031998	+	hyaABCDEF // hyaABCDEF	
NarP-Pasp59 DNA-binding-site 70 bases upstream of nrfAp	4287593	4287609	+	nrfABCDEFG	
NarP-Pasp59 DNA-binding-site 74 bases upstream of nirBp	3493905	3493921	+	nirBDC-cysG	
NarP-Pasp59 DNA-binding-site 78 bases upstream of norVp	2832353	2832369	+	norVW	
NarP-Pasp59 DNA-binding-site 79 bases upstream of nrfAp	4287584	4287600	+	nrfABCDEFG	
NarP-Pasp59 DNA-binding-site regulating ydePp			-	ydeP	
NemR DNA-binding-site 20.5 bases upstream of nemRp	1725993	1726009	+	nemRA-gloA // nemRA	
NfeR DNA-binding-site 18 bases downstream of yqjHp	3216512	3216531	-	nfeF	
NfeR DNA-binding-site 7 bases upstream of nfeRp	3216731	3216762	+	nfeR	
NhaR-Na+ DNA-binding-site (BS0-10782)					
NhaR-Na+ DNA-binding-site (BS0-10783)					
NhaR-Na+ DNA-binding-site 3 bases upstream of nhaAp1	17447	17464	+	nhaAR	
NhaR-Na+ DNA-binding-site 34 bases upstream of nhaAp1	17416	17433	+	nhaAR	
NhaR-Na+ DNA-binding-site 41 bases upstream of pgaAp	1092556	1092573	-	pgaABCD	
NhaR-Na+ DNA-binding-site 42 bases upstream of osmCp1	1556546	1556563	+	osmC	
NhaR-Na+ DNA-binding-site 44 bases upstream of nhaAp1	17406	17423	+	nhaAR	
NhaR-Na+ DNA-binding-site 63 bases upstream of pgaAp	1092578	1092595	-	pgaABCD	
NhaR-Na+ DNA-binding-site 66 bases upstream of nhaAp1	17384	17401	+	nhaAR	
NhaR-Na+ DNA-binding-site regulating rrsAp1			+	rrsA-ileT-alaT-rrlA-rrfA	
NhaR-Na+ DNA-binding-site regulating rrsAp2			+	rrsA-ileT-alaT-rrlA-rrfA	
NhaR-Na+ DNA-binding-site regulating rrsBp1			+	rrsB-gltT-rrlB-rrfB	
NhaR-Na+ DNA-binding-site regulating rrsBp2			+	rrsB-gltT-rrlB-rrfB	
NhaR-Na+ DNA-binding-site regulating rrsCp1			+	rrsC-gltU-rrlC-rrfC	
NhaR-Na+ DNA-binding-site regulating rrsCp2			+	rrsC-gltU-rrlC-rrfC	
NhaR-Na+ DNA-binding-site regulating rrsDp1			-	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	
NhaR-Na+ DNA-binding-site regulating rrsDp2			-	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	
NhaR-Na+ DNA-binding-site regulating rrsEp1			+	rrsE-gltV-rrlE-rrfE	
NhaR-Na+ DNA-binding-site regulating rrsEp2			+	rrsE-gltV-rrlE-rrfE	
NhaR-Na+ DNA-binding-site regulating rrsGp1			-	rrsG-gltW-rrlG-rrfG	
NhaR-Na+ DNA-binding-site regulating rrsGp2			-	rrsG-gltW-rrlG-rrfG	
NhaR-Na+ DNA-binding-site regulating rrsHp1			+	rrsH-ileV-alaV-rrlH-rrfH	
NhaR-Na+ DNA-binding-site regulating rrsHp2			+	rrsH-ileV-alaV-rrlH-rrfH	
NikR DNA-binding-site 12.5 bases upstream of nikAp1	3613602	3613630	+	nikABCDER	
NimR DNA-binding-site 17 bases downstream of nimRp	1875574	1875595		yeaM // nimT	
NimR DNA-binding-site 29.5 bases upstream of nimRp	1875623	1875637		yeaM // nimT	
NimR DNA-binding-site 57.5 bases upstream of nimRp	1875649	1875667		yeaM // nimT	
NorR DNA-binding-site 1 bases downstream of norRp	2832301	2832314		norR // norVW	
NorR DNA-binding-site 21 bases upstream of norRp	2832322	2832335		norR // norVW	
NorR DNA-binding-site 45 bases upstream of norRp	2832346	2832359		norR // norVW	
NrdR transcriptional Repressor DNA-binding-site 14.5 bases upstream of nrdHp	2800634	2800650	+	nrdHIEF	
NrdR transcriptional Repressor DNA-binding-site 22.5 bases upstream of nrdDp	4462853	4462869	-	nrdDG	
NrdR transcriptional Repressor DNA-binding-site 25.5 bases downstream of nrdAp	2344772	2344788	+	nrdAB-yfaE	
NrdR transcriptional Repressor DNA-binding-site 45.5 bases upstream of nrdHp	2800603	2800619	+	nrdHIEF	
NrdR transcriptional Repressor DNA-binding-site 56.5 bases downstream of nrdAp	2344803	2344819	+	nrdAB-yfaE	
NrdR transcriptional Repressor DNA-binding-site 7.5 bases upstream of nrdAp	2344740	2344756	+	nrdAB-yfaE	
NrdR transcriptional Repressor DNA-binding-site 9.5 bases downstream of nrdDp	4462822	4462838	-	nrdDG	
NsrR-[2Fe-2S] DNA-binding-site (BS0-7789)	1865715	1865726			
NsrR-[2Fe-2S] DNA-binding-site 1 bases upstream of rfep	3967794	3967805	+	wecA-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	
NsrR-[2Fe-2S] DNA-binding-site 1 bases upstream of tehAp	1500526	1500545	+	tehAB	
NsrR-[2Fe-2S] DNA-binding-site 1 bases upstream of ygbAp	2856824	2856835	-	ygbA	
NsrR-[2Fe-2S] DNA-binding-site 11 bases upstream of dkgBp	229082	229093	+	dkgB	
NsrR-[2Fe-2S] DNA-binding-site 115 bases upstream of yibDp1	3790259	3790270	-	yibD	
NsrR-[2Fe-2S] DNA-binding-site 118 bases upstream of ygbAp	2856941	2856952	-	ygbA	
NsrR-[2Fe-2S] DNA-binding-site 12 bases upstream of ytfEp	4432012	4432031	-	ytfE	
NsrR-[2Fe-2S] DNA-binding-site 121 bases upstream of nrfAp	4287545	4287556	+	nrfABCDEFG	
NsrR-[2Fe-2S] DNA-binding-site 13 bases upstream of grxD	1734170	1734181	-	grxD	
NsrR-[2Fe-2S] DNA-binding-site 131 bases downstream of pgpCp	2698503	2698514	-	pgpC-tadA	
NsrR-[2Fe-2S] DNA-binding-site 14 bases downstream of dsdCp	2477728	2477739	-	dsdC	
NsrR-[2Fe-2S] DNA-binding-site 18 bases upstream of bdcAp	4474077	4474088	-	bdcA	
NsrR-[2Fe-2S] DNA-binding-site 184 bases upstream of feaBp1	1447303	1447314	+	feaB	
NsrR-[2Fe-2S] DNA-binding-site 2 bases downstream of feaRp2	1447303	1447314	-	feaR	
NsrR-[2Fe-2S] DNA-binding-site 2 bases downstream of hmpp	2685789	2685808	+	hmp	
NsrR-[2Fe-2S] DNA-binding-site 20 bases downstream of hmpp	2685811	2685822	+	hmp	
NsrR-[2Fe-2S] DNA-binding-site 21 bases downstream of norRp	2832282	2832293	-	norR	
NsrR-[2Fe-2S] DNA-binding-site 218 bases upstream of fliAp2	2002021	2002032	-	fliAZY // fliAZY	
NsrR-[2Fe-2S] DNA-binding-site 28 bases downstream of tehAp	1500558	1500569	+	tehAB	
NsrR-[2Fe-2S] DNA-binding-site 32 bases upstream of yeaRp	1880017	1880036	-	yeaR-yoaG	
NsrR-[2Fe-2S] DNA-binding-site 37 bases upstream of sodBp	1735281	1735292	+	sodB	
NsrR-[2Fe-2S] DNA-binding-site 38 bases upstream of hmpp	2685754	2685765	+	hmp	
NsrR-[2Fe-2S] DNA-binding-site 39 bases downstream of ydbDp	1475099	1475110	+	ydbD	
NsrR-[2Fe-2S] DNA-binding-site 484 bases upstream of mhpTp	374897	374908	+	mhpT	
NsrR-[2Fe-2S] DNA-binding-site 5 bases upstream of fliAp2	2001808	2001819	-	fliAZY	
NsrR-[2Fe-2S] DNA-binding-site 52 bases downstream of lrpp	932374	932385	+	lrp	
NsrR-[2Fe-2S] DNA-binding-site 6 bases downstream of hcpp1	913831	913850	-	hcp-hcr-poxB // hcp-hcr	
NsrR-[2Fe-2S] DNA-binding-site 6 bases downstream of ndhp	1165992	1166003	+	ndh	
NsrR-[2Fe-2S] DNA-binding-site 6 bases upstream of sufAp	1764419	1764430	-	sufABCDSE	
NsrR-[2Fe-2S] DNA-binding-site 61 bases upstream of mepHp	1734291	1734302	+	mepH	
NsrR-[2Fe-2S] DNA-binding-site 63 bases upstream of nrfAp	4287599	4287618	+	nrfABCDEFG	
NsrR-[2Fe-2S] DNA-binding-site 64 bases downstream of dkgBp	229156	229167	+	dkgB	
NsrR-[2Fe-2S] DNA-binding-site 64 bases upstream of tsgAp	3492450	3492461	+	tsgA	
NsrR-[2Fe-2S] DNA-binding-site 67 bases downstream of bamEp	2753547	2753558	+	bamE	
NsrR-[2Fe-2S] DNA-binding-site 68 bases upstream of sufAp	1764481	1764492	-	sufABCDSE	
NsrR-[2Fe-2S] DNA-binding-site 7 bases downstream of fliAp1	2001808	2001819	-	fliAZY	
NsrR-[2Fe-2S] DNA-binding-site 7 bases upstream of ygbAp	2856826	2856845	-	ygbA	
NsrR-[2Fe-2S] DNA-binding-site 80 bases downstream of thrSp	1802649	1802660	-	thrS-infC-rpmI-rplT-pheMST-ihfA // thrS-infC	
NsrR-[2Fe-2S] DNA-binding-site 81 bases upstream of aceEp2	122883	122894	+	aceEF // aceEF	
NsrR-[2Fe-2S] DNA-binding-site 9 bases downstream of cddp	2231822	2231833	+	cdd	
NsrR-[2Fe-2S] DNA-binding-site 96 bases upstream of hypAp	2850526	2850537		hypABCDE-fhlA // hypABCDE // hycABCDEFGHI	
NsrR-[2Fe-2S] DNA-binding-site regulating moeAp			-	moeAB	
NtrC phosphorylated dimer DNA-binding-site (BS0-10996)	1865652	1865671			
NtrC phosphorylated dimer DNA-binding-site (BS0-10997)	1865682	1865701			
NtrC phosphorylated dimer DNA-binding-site (BS0-10998)	1865706	1865725			
NtrC phosphorylated dimer DNA-binding-site (BS0-11000)	2426932	2426951			
NtrC phosphorylated dimer DNA-binding-site (BS0-1142)	2062120	2062139			
NtrC phosphorylated dimer DNA-binding-site 108 bases upstream of glnAp2	4058207	4058224	-	glnAZ // glnAZLG // glnAZ // glnAZLG	
NtrC phosphorylated dimer DNA-binding-site 109 bases upstream of glnHp2	848156	848156	-	glnHPQ	
NtrC phosphorylated dimer DNA-binding-site 122 bases upstream of glnHp2	848169	848169	-	glnHPQ	
NtrC phosphorylated dimer DNA-binding-site 124 bases upstream of rutAp	1074150	1074150	-	rutABCDEFG	
NtrC phosphorylated dimer DNA-binding-site 126 bases upstream of yhdWp	3418846	3418846	+	yhdWXYZ	
NtrC phosphorylated dimer DNA-binding-site 135 bases upstream of glnHp2	848182	848182	-	glnHPQ	
NtrC phosphorylated dimer DNA-binding-site 140 bases upstream of glnAp2	4058239	4058256	-	glnAZ // glnAZLG // glnAZ // glnAZLG	
NtrC phosphorylated dimer DNA-binding-site 145 bases upstream of rutAp	1074171	1074171	-	rutABCDEFG	
NtrC phosphorylated dimer DNA-binding-site 171 bases upstream of patAp2	3219287	3219287	+	patA // patA	
NtrC phosphorylated dimer DNA-binding-site 190 bases upstream of argTp	2428039	2428039	-	argT-hisJQMP	
NtrC phosphorylated dimer DNA-binding-site 193 bases upstream of patAp2	3219265	3219265	+	patA // patA	
NtrC phosphorylated dimer DNA-binding-site 3 bases downstream of glnLp	4056369	4056369	-	glnLG	
NtrC phosphorylated dimer DNA-binding-site 45 bases upstream of glnAp2	4058144	4058161	-	glnAZ // glnAZLG // glnAZ // glnAZLG	
NtrC phosphorylated dimer DNA-binding-site 543 bases upstream of patAp2	3218907	3218924	+	patA // patA	
NtrC phosphorylated dimer DNA-binding-site 62 bases downstream of yeaEp	1865654	1865673	-	yeaE	
NtrC phosphorylated dimer DNA-binding-site 68 bases upstream of glnAp2	4058167	4058184	-	glnAZ // glnAZLG // glnAZ // glnAZLG	
NtrC phosphorylated dimer DNA-binding-site 79 bases upstream of glnHp2	848126	848126	-	glnHPQ	
NtrC phosphorylated dimer DNA-binding-site 83 bases upstream of argTp	2427932	2427932	-	argT-hisJQMP	
NtrC phosphorylated dimer DNA-binding-site 87 bases upstream of glnKp	472469	472469	+	glnK-amtB	
NtrC phosphorylated dimer DNA-binding-site 89 bases upstream of glnAp2	4058188	4058205	-	glnAZ // glnAZLG // glnAZ // glnAZLG	
NtrC phosphorylated dimer DNA-binding-site 96 bases upstream of yhdWp	3418876	3418876	+	yhdWXYZ	
NtrC-Pasp DNA-binding-site 109 bases upstream of ddpXp1	1563208	1563225	-	ddpXABCDF	
NtrC-Pasp DNA-binding-site 233 bases upstream of astCp2	1832269	1832286	-	astCADBE	
NtrC-Pasp DNA-binding-site 253 bases upstream of astCp2	1832289	1832306	-	astCADBE	
NtrC-Pasp DNA-binding-site 275 bases upstream of astCp2	1832311	1832328	-	astCADBE	
NtrC-Pasp DNA-binding-site 33.5 bases upstream of rseDp1	2710364	2710382	-	rseD-rpoE-rseABC // rseD-rpoE-rseABC	
NtrC-Pasp DNA-binding-site 88 bases upstream of ddpXp1	1563187	1563204	-	ddpXABCDF	
NtrC-Pasp DNA-binding-site regulating relAp4			-	relA	
OmpR DNA-binding-site regulating cadBp			-	cadBA	
OmpR DNA-binding-site regulating cadCp			-	cadC	
OmpR DNA-binding-site regulating speF-potE			-	speF-potE	
OmpR-P DNA-binding-site (BS0-10622)					
OmpR-P DNA-binding-site (BS0-10623)	1912687	1912707			
OmpR-P DNA-binding-site (BS0-10627)	2391715	2391735			
OmpR-P DNA-binding-site (BS0-10628)	2905470	2905490			
OmpR-P DNA-binding-site (BS0-10629)	3088070	3088090			
OmpR-P DNA-binding-site (BS0-10630)	3238378	3238398			
OmpR-P DNA-binding-site (BS0-10631)	1942571	1942591			
OmpR-P DNA-binding-site (BS0-10633)	4246801	4246821			
OmpR-P DNA-binding-site (BS0-10634)					
OmpR-P DNA-binding-site (BS0-9599)	485720	485740			
OmpR-P DNA-binding-site (BS0-9600)	243369	243389			
OmpR-P DNA-binding-site (BS0-9601)	1757360	1757380			
OmpR-P DNA-binding-site (BS0-9603)	850394	850414			
OmpR-P DNA-binding-site (BS0-9604)	121941	121961			
OmpR-P DNA-binding-site (BS0-9605)	4635507	4635527			
OmpR-P DNA-binding-site (BS0-9606)	3239875	3239895			
OmpR-P DNA-binding-site (BS0-9607)	3177866	3177886			
OmpR-P DNA-binding-site (BS0-9608)	3492387	3492407			
OmpR-P DNA-binding-site 119.5 bases downstream of fadLp	2461314	2461334	+	fadL	
OmpR-P DNA-binding-site 145.5 bases upstream of flhDp	1978531	1978551	-	flhDC	
OmpR-P DNA-binding-site 149.5 bases upstream of fadLp	2461046	2461066	+	fadL	
OmpR-P DNA-binding-site 165.5 bases upstream of micFp2	2312909	2312929		micF // micF // ompC	
OmpR-P DNA-binding-site 178 bases upstream of feoAp	3539869	3539889	+	feoABC	
OmpR-P DNA-binding-site 18.5 bases downstream of ecnBp	4376517	4376537	+	ecnB	
